english,word,score
assassin,asesinar,1.18
menace,amenaza,1.99
handsome,guapo,7.79
adorable,adorable,7.48
baby,bebé,7.60
punishment,castigo,1.87
truth,verdad,7.78
stress,estrés,1.83
murderer,homicida,1.68
kiss,beso,8.43
blossom,florecer,7.49
obesity,obesidad,2.28
ridicule,burla,2.20
book,libro,6.42
flabby,fofo,3.01
loyal,leal,7.73
cancer,cáncer,1.23
power,poder,5.73
irritate,irritar,1.93
nectar,néctar,6.10
graduate,graduado,7.09
frog,rana,4.23
doctor,doctor,4.77
ocean,océano,7.54
delight,deleite,7.23
square,cuadrado,4.87
hostage,rehén,1.74
burial,entierro,1.36
toothache,flemón,1.96
malice,malicia,2.08
sissy,mariquita,5.80
water,agua,7.47
time,tiempo,5.27
termite,termita,3.40
woman,mujer,6.40
hurt,herido,1.98
engine,motor,4.83
tobacco,tabaco,3.18
paper,papel,4.98
bunny,conejito,6.46
lake,lago,7.19
headache,jaqueca,1.58
muscular,musculoso,5.04
pretty,guapa,7.22
trophy,trofeo,7.30
horror,horror,1.68
millionaire,millonario,6.57
rat,rata,2.67
comedy,comedia,7.71
palace,palacio,6.91
slime,cieno,3.77
funeral,funeral,1.48
killer,asesino,1.23
malaria,malaria,1.81
lucky,afortunado,7.71
mildew,moho,2.61
god,díos,5.59
garbage,porquería,1.66
perfection,perfección,6.58
home,hogar,7.63
bastard,bastardo,2.89
putrid,putrefacto,1.64
cuddle,cariñoso,8.41
sunrise,amanecer,8.01
destroy,destruir,2.09
violent,violento,1.69
excuse,excusa,3.14
jewel,joya,6.51
street,calle,5.53
terrible,terrible,1.49
nature,naturaleza,8.03
radio,radio,6.29
gentle,delicado,5.64
thorn,espina,2.64
clothing,ropa,6.69
gold,oro,6.68
diamond,diamante,6.69
tumor,tumor,1.34
church,iglesia,3.77
sex,sexo,7.76
morgue,morgue,2.71
profit,ganancias,7.58
suffocate,asfixiarse,1.48
thoughtful,considerado,6.99
education,educación,7.07
month,mes,5.03
pleasure,placer,8.48
riches,riqueza,7.04
wealthy,adinerado,6.21
inspire,inspirar,7.17
chair,silla,5.03
revolt,revuelta,3.23
terrific,genial,7.98
exercise,ejercicio,5.70
confident,convencido,6.51
friend,amigo,8.41
toxic,tóxico,1.77
