abuse,abuso,1.53
accident,incidente,1.51
achievement,realizzazione,4.57
adorable,adorabile,4.4
affectionate,affettuoso,4.56
afraid,paura,2.05
agility,agilità,3.99
agony,agonia,1.57
ambition,ambizione,4.28
ambulance,ambulanza,1.95
angel,angelo,4.51
anger,rabbia,1.71
annoy,infastidire,1.76
anxiety,ansia,2.28
army,esercito,2.35
assassin,assassino,1.56
assault,assalto,1.59
autumn,autunno,4.32
baby,bambino,4.45
bankrupt,in bancarotta,1.63
bastard,bastardo,1.5
beach,spiaggia,4.51
beauty,bellezza,4.46
beggar,mendicante,1.83
betray,tradire,1.57
bird,uccello,4.03
birthday,compleanno,4.41
blackmail,ricatto,1.54
bless,benedire,4.28
blind,cieco,1.72
blossom,fiorire,4.42
blubber,grasso,1.76
bomb,bomba,1.51
book,libro,3.69
bowl,ciotola,3.29
boy,ragazzo,3.88
breast,Seno,3.91
brother,fratello,4.22
brutal,brutale,1.54
bunny,coniglietto,4.33
burial,sepoltura,1.42
butter,burro,3.51
butterfly,farfalla,4.48
cake,torta,4.27
cancer,cancro,1.43
candy,caramella,4.2
capacity,capacità,3.27
caress,carezza,4.55
cemetery,cimitero,1.67
chair,sedia,3.26
champion,campione,4.41
charm,fascino,4.19
cheer,esultare,4.51
child,bambino,4.36
church,Chiesa,4.19
circus,circo,4.03
city,città,3.49
clothing,capi di abbigliamento,4.12
cockroach,scarafaggio,1.55
coffin,bara,1.53
comedy,commedia,4.38
comparison,confronto,3.17
confident,fiducioso,4.33
constipation,stipsi,1.55
contents,Contenuti,3.36
context,contesto,3
corpse,cadavere,1.51
cottage,Villetta,4.17
cozy,accogliente,4.45
crash,crash,1.56
crown,corona,3.97
crucify,crocifiggere,1.42
cuddle,coccolare,4.47
custom,personalizzato,3.65
cute,carino,4.37
cyclone,ciclone,2.11
dagger,pugnale,1.95
death,Morte,1.47
debt,debito,1.75
decompose,decomporsi,1.5
delight,diletto,4.33
demon,demone,1.71
depression,depressione,1.63
deserter,disertore,1.88
